estados_brasileiros,ano,cultura,producao_toneladas
Piaui,2021,arroz,97188
Piaui,2022,arroz,81604
Piaui,2023,arroz,92716
Rio Grande do Norte,2010,arroz,5156
Rio Grande do Norte,2011,arroz,3177
Rio Grande do Norte,2012,arroz,1830
Rio Grande do Norte,2013,arroz,3490
Rio Grande do Norte,2014,arroz,3910
Rio Grande do Norte,2015,arroz,2432
Rio Grande do Norte,2016,arroz,3244
Rio Grande do Norte,2017,arroz,3415
Rio Grande do Norte,2018,arroz,3045
Rio Grande do Norte,2019,arroz,3053
Rio Grande do Norte,2020,arroz,3154
Rio Grande do Norte,2021,arroz,3241
Rio Grande do Norte,2022,arroz,1553
Rio Grande do Norte,2023,arroz,328
Rio Grande do Sul,2010,arroz,6875077
Rio Grande do Sul,2011,arroz,8940432
Rio Grande do Sul,2012,arroz,7692223
Rio Grande do Sul,2013,arroz,8099357
Rio Grande do Sul,2014,arroz,8241840
Rio Grande do Sul,2015,arroz,8679489
Rio Grande do Sul,2016,arroz,7493431
Rio Grande do Sul,2017,arroz,8733110
Rio Grande do Sul,2018,arroz,8401787
Rio Grande do Sul,2019,arroz,7172101
Rio Grande do Sul,2020,arroz,7753663
Rio Grande do Sul,2021,arroz,8295840
Rio Grande do Sul,2022,arroz,7671078
Rio Grande do Sul,2023,arroz,7142801
Rio de Janeiro,2010,arroz,7911
Rio de Janeiro,2011,arroz,6765
Rio de Janeiro,2012,arroz,5407
Rio de Janeiro,2013,arroz,3344
Rio de Janeiro,2014,arroz,2858
Rio de Janeiro,2015,arroz,690
Rio de Janeiro,2016,arroz,856
Rio de Janeiro,2017,arroz,1888
Rio de Janeiro,2018,arroz,379
Rio de Janeiro,2019,arroz,627
Rio de Janeiro,2020,arroz,114
Rio de Janeiro,2021,arroz,785
Rio de Janeiro,2022,arroz,863
Rio de Janeiro,2023,arroz,737
Rondonia,2010,arroz,164701
Rondonia,2011,arroz,168956
Rondonia,2012,arroz,239082
Rondonia,2013,arroz,125441
Rondonia,2014,arroz,134834
Rondonia,2015,arroz,122321
Rondonia,2016,arroz,138175
Rondonia,2017,arroz,104749
Rondonia,2018,arroz,109651
Rondonia,2019,arroz,123940
Rondonia,2020,arroz,112848
Rondonia,2021,arroz,114942
Rondonia,2022,arroz,121408
Rondonia,2023,arroz,113220
Roraima,2010,arroz,85325
Roraima,2011,arroz,107075
Roraima,2012,arroz,106681
Roraima,2013,arroz,89069
Roraima,2014,arroz,78612
Roraima,2015,arroz,53003
Roraima,2016,arroz,67556
Roraima,2017,arroz,70160
Roraima,2018,arroz,72664
Roraima,2019,arroz,97655
Roraima,2020,arroz,71054
Roraima,2021,arroz,83830
Roraima,2022,arroz,77295
Roraima,2023,arroz,88902
Santa Catarina,2010,arroz,1041587
Santa Catarina,2011,arroz,980501
Santa Catarina,2012,arroz,1097212
Santa Catarina,2013,arroz,1020993
Santa Catarina,2014,arroz,1082441
Santa Catarina,2015,arroz,1081537
Santa Catarina,2016,arroz,1050859
Santa Catarina,2017,arroz,1127067
Santa Catarina,2018,arroz,1090063
Santa Catarina,2019,arroz,1062159
Santa Catarina,2020,arroz,1215651
Santa Catarina,2021,arroz,1195939
Santa Catarina,2022,arroz,1194481
Santa Catarina,2023,arroz,1176285
Sao Paulo,2010,arroz,84429
Sao Paulo,2011,arroz,100942
Sao Paulo,2012,arroz,120620
Sao Paulo,2013,arroz,67532
Sao Paulo,2014,arroz,59802
Sao Paulo,2015,arroz,62022
Sao Paulo,2016,arroz,60860
Sao Paulo,2017,arroz,59118
Sao Paulo,2018,arroz,58928
Sao Paulo,2019,arroz,57374
Sao Paulo,2020,arroz,59038
Sao Paulo,2021,arroz,58791
Sao Paulo,2022,arroz,56740
Sao Paulo,2023,arroz,47648
Sergipe,2010,arroz,48601
Sergipe,2011,arroz,18972
Sergipe,2012,arroz,26661
Sergipe,2013,arroz,30891
Sergipe,2014,arroz,41714
Sergipe,2015,arroz,25164
Sergipe,2016,arroz,33058
Sergipe,2017,arroz,37190
Sergipe,2018,arroz,31737
Sergipe,2019,arroz,28159
Sergipe,2020,arroz,34153
Sergipe,2021,arroz,51227
Sergipe,2022,arroz,33808
Sergipe,2023,arroz,39927
Tocantins,2010,arroz,447320
Tocantins,2011,arroz,467710
Tocantins,2012,arroz,348241
Tocantins,2013,arroz,489577
Tocantins,2014,arroz,511035
Tocantins,2015,arroz,621216
Tocantins,2016,arroz,529175
Tocantins,2017,arroz,694133
Tocantins,2018,arroz,718000
Tocantins,2019,arroz,636908
Tocantins,2020,arroz,690099
Tocantins,2021,arroz,671205
Tocantins,2022,arroz,523638
Tocantins,2023,arroz,604375
Acre,2010,cana_de_acucar,107251
Acre,2011,cana_de_acucar,179044
Acre,2012,cana_de_acucar,199370
Acre,2013,cana_de_acucar,152345
Acre,2014,cana_de_acucar,188976
Acre,2015,cana_de_acucar,197376
Acre,2016,cana_de_acucar,117244
Acre,2017,cana_de_acucar,20229
Acre,2018,cana_de_acucar,11989
Acre,2019,cana_de_acucar,12119
Acre,2020,cana_de_acucar,11822
Acre,2021,cana_de_acucar,12439
Acre,2022,cana_de_acucar,11896
Acre,2023,cana_de_acucar,11457
Alagoas,2010,cana_de_acucar,24352340
Alagoas,2011,cana_de_acucar,29257108
Alagoas,2012,cana_de_acucar,27674454
Alagoas,2013,cana_de_acucar,28170950
Alagoas,2014,cana_de_acucar,26884220
Alagoas,2015,cana_de_acucar,20714441
Alagoas,2016,cana_de_acucar,18701217
Alagoas,2017,cana_de_acucar,17498101
Alagoas,2018,cana_de_acucar,16738990
Alagoas,2019,cana_de_acucar,18702251
Alagoas,2020,cana_de_acucar,15293563
Alagoas,2021,cana_de_acucar,17419082
Alagoas,2022,cana_de_acucar,17050772
Alagoas,2023,cana_de_acucar,18982924
Amapa,2010,cana_de_acucar,4146
Amapa,2011,cana_de_acucar,3428
Amapa,2012,cana_de_acucar,3645
Amapa,2013,cana_de_acucar,3885
Amapa,2014,cana_de_acucar,4381
Amapa,2015,cana_de_acucar,4480
Amapa,2016,cana_de_acucar,4560
Amapa,2017,cana_de_acucar,3107
Amapa,2018,cana_de_acucar,5988
Amapa,2019,cana_de_acucar,11038
Amapa,2020,cana_de_acucar,10325
Amapa,2021,cana_de_acucar,8153
Amapa,2022,cana_de_acucar,6997
Amapa,2023,cana_de_acucar,5315
Amazonas,2010,cana_de_acucar,341186
Amazonas,2011,cana_de_acucar,302895
Amazonas,2012,cana_de_acucar,304751
Amazonas,2013,cana_de_acucar,288550
Amazonas,2014,cana_de_acucar,302066
Amazonas,2015,cana_de_acucar,232389
Amazonas,2016,cana_de_acucar,224429
Amazonas,2017,cana_de_acucar,241073
Amazonas,2018,cana_de_acucar,252734
Amazonas,2019,cana_de_acucar,284685
Amazonas,2020,cana_de_acucar,305363
Amazonas,2021,cana_de_acucar,287472
Amazonas,2022,cana_de_acucar,360899
Amazonas,2023,cana_de_acucar,357257
Bahia,2010,cana_de_acucar,5868709
Bahia,2011,cana_de_acucar,6992412
Bahia,2012,cana_de_acucar,6894350
Bahia,2013,cana_de_acucar,6753539
Bahia,2014,cana_de_acucar,6705267
Bahia,2015,cana_de_acucar,6227728
Bahia,2016,cana_de_acucar,6413820
Bahia,2017,cana_de_acucar,4765663
Bahia,2018,cana_de_acucar,4859080
Bahia,2019,cana_de_acucar,5009768
Bahia,2020,cana_de_acucar,5460092
Bahia,2021,cana_de_acucar,5482476
Bahia,2022,cana_de_acucar,5208139
Bahia,2023,cana_de_acucar,5651267
Brasil,2010,cana_de_acucar,717463793
Brasil,2011,cana_de_acucar,734006059
Brasil,2012,cana_de_acucar,722926450
Brasil,2013,cana_de_acucar,768090444
Brasil,2014,cana_de_acucar,736108487
Brasil,2015,cana_de_acucar,750290277
Brasil,2016,cana_de_acucar,768594154
Brasil,2017,cana_de_acucar,758646205
Brasil,2018,cana_de_acucar,747556774
Brasil,2019,cana_de_acucar,753470465
Brasil,2020,cana_de_acucar,756070576
Brasil,2021,cana_de_acucar,715679276
Brasil,2022,cana_de_acucar,726052712
Brasil,2023,cana_de_acucar,782585836
Ceara,2010,cana_de_acucar,2306004
Ceara,2011,cana_de_acucar,2209852
Ceara,2012,cana_de_acucar,1996789
Ceara,2013,cana_de_acucar,1674705
Ceara,2014,cana_de_acucar,1176523
Ceara,2015,cana_de_acucar,906912
Ceara,2016,cana_de_acucar,715932
Ceara,2017,cana_de_acucar,689418
Ceara,2018,cana_de_acucar,512620
Ceara,2019,cana_de_acucar,579180
Ceara,2020,cana_de_acucar,588109
Ceara,2021,cana_de_acucar,574953
Ceara,2022,cana_de_acucar,522601
Ceara,2023,cana_de_acucar,556369
Distrito Federal,2010,cana_de_acucar,69475
Distrito Federal,2011,cana_de_acucar,65342
Distrito Federal,2012,cana_de_acucar,57360
Distrito Federal,2013,cana_de_acucar,40368
Distrito Federal,2014,cana_de_acucar,41037
Distrito Federal,2015,cana_de_acucar,39672
Distrito Federal,2016,cana_de_acucar,20720
Distrito Federal,2017,cana_de_acucar,31125
Distrito Federal,2018,cana_de_acucar,17425
Distrito Federal,2019,cana_de_acucar,17425
Distrito Federal,2020,cana_de_acucar,17425
Distrito Federal,2021,cana_de_acucar,17425
Distrito Federal,2022,cana_de_acucar,27092
Distrito Federal,2023,cana_de_acucar,17425
Espirito Santo,2010,cana_de_acucar,5314685
Espirito Santo,2011,cana_de_acucar,4682285
Espirito Santo,2012,cana_de_acucar,4650742
Espirito Santo,2013,cana_de_acucar,3968839
Espirito Santo,2014,cana_de_acucar,4075723
Espirito Santo,2015,cana_de_acucar,3320809
Espirito Santo,2016,cana_de_acucar,2706102
Espirito Santo,2017,cana_de_acucar,2504378
Espirito Santo,2018,cana_de_acucar,2754118
Espirito Santo,2019,cana_de_acucar,2559423
Espirito Santo,2020,cana_de_acucar,2578915
Espirito Santo,2021,cana_de_acucar,2924219
Espirito Santo,2022,cana_de_acucar,3108481
Espirito Santo,2023,cana_de_acucar,3094072
Goias,2010,cana_de_acucar,48000163
Goias,2011,cana_de_acucar,54903085
Goias,2012,cana_de_acucar,58348797
Goias,2013,cana_de_acucar,69376714
Goias,2014,cana_de_acucar,70152466
Goias,2015,cana_de_acucar,72066835
Goias,2016,cana_de_acucar,71054922
Goias,2017,cana_de_acucar,71381519
Goias,2018,cana_de_acucar,75733545
Goias,2019,cana_de_acucar,75315239
Goias,2020,cana_de_acucar,75873273
Goias,2021,cana_de_acucar,72012198
Goias,2022,cana_de_acucar,73525072
Goias,2023,cana_de_acucar,81599588
Maranhao,2010,cana_de_acucar,3176531
Maranhao,2011,cana_de_acucar,2673211
Maranhao,2012,cana_de_acucar,3011709
Maranhao,2013,cana_de_acucar,2948317
Maranhao,2014,cana_de_acucar,2665104
Maranhao,2015,cana_de_acucar,3124141
Maranhao,2016,cana_de_acucar,2520500
Maranhao,2017,cana_de_acucar,2482939
Maranhao,2018,cana_de_acucar,2427100
Maranhao,2019,cana_de_acucar,2907191
Maranhao,2020,cana_de_acucar,2838087
Maranhao,2021,cana_de_acucar,2732064
Maranhao,2022,cana_de_acucar,2827703
Maranhao,2023,cana_de_acucar,2741432
Mato Grosso,2010,cana_de_acucar,14564724
Mato Grosso,2011,cana_de_acucar,14050998
Mato Grosso,2012,cana_de_acucar,17108709
Mato Grosso,2013,cana_de_acucar,19681574
Mato Grosso,2014,cana_de_acucar,19032094
Mato Grosso,2015,cana_de_acucar,20077293
Mato Grosso,2016,cana_de_acucar,19209764
Mato Grosso,2017,cana_de_acucar,19230604
Mato Grosso,2018,cana_de_acucar,20433828
Mato Grosso,2019,cana_de_acucar,23319052
Mato Grosso,2020,cana_de_acucar,20806469
Mato Grosso,2021,cana_de_acucar,19348547
Mato Grosso,2022,cana_de_acucar,17345179
Mato Grosso,2023,cana_de_acucar,19060217
Mato Grosso do Sul,2010,cana_de_acucar,34795664
Mato Grosso do Sul,2011,cana_de_acucar,34876698
Mato Grosso do Sul,2012,cana_de_acucar,37761461
Mato Grosso do Sul,2013,cana_de_acucar,42399659
Mato Grosso do Sul,2014,cana_de_acucar,44039431
Mato Grosso do Sul,2015,cana_de_acucar,43924003
Mato Grosso do Sul,2016,cana_de_acucar,51927246
Mato Grosso do Sul,2017,cana_de_acucar,46930191
Mato Grosso do Sul,2018,cana_de_acucar,49794753
Mato Grosso do Sul,2019,cana_de_acucar,52245291
Mato Grosso do Sul,2020,cana_de_acucar,47896832
Mato Grosso do Sul,2021,cana_de_acucar,47287616
Mato Grosso do Sul,2022,cana_de_acucar,40758940
Mato Grosso do Sul,2023,cana_de_acucar,51789876
Minas Gerais,2010,cana_de_acucar,60603247
Minas Gerais,2011,cana_de_acucar,67732138
Minas Gerais,2012,cana_de_acucar,70521498
Minas Gerais,2013,cana_de_acucar,71619149
Minas Gerais,2014,cana_de_acucar,71086808
Minas Gerais,2015,cana_de_acucar,69017764
Minas Gerais,2016,cana_de_acucar,69934887
Minas Gerais,2017,cana_de_acucar,69721579
Minas Gerais,2018,cana_de_acucar,70808004
Minas Gerais,2019,cana_de_acucar,72967219
Minas Gerais,2020,cana_de_acucar,78383655
Minas Gerais,2021,cana_de_acucar,69915645
Minas Gerais,2022,cana_de_acucar,73312381
Minas Gerais,2023,cana_de_acucar,82544375
Para,2010,cana_de_acucar,668738
Para,2011,cana_de_acucar,715152
Para,2012,cana_de_acucar,750378
Para,2013,cana_de_acucar,935020
Para,2014,cana_de_acucar,921704
Para,2015,cana_de_acucar,918297
Para,2016,cana_de_acucar,918560
Para,2017,cana_de_acucar,859683
Para,2018,cana_de_acucar,925527
Para,2019,cana_de_acucar,1029044
Para,2020,cana_de_acucar,1014244
Para,2021,cana_de_acucar,1028940
Para,2022,cana_de_acucar,1209679
Para,2023,cana_de_acucar,1209026
Paraiba,2010,cana_de_acucar,5646151
Paraiba,2011,cana_de_acucar,6417385
Paraiba,2012,cana_de_acucar,5865365
Paraiba,2013,cana_de_acucar,6094359
Paraiba,2014,cana_de_acucar,6761570
Paraiba,2015,cana_de_acucar,6801981
Paraiba,2016,cana_de_acucar,6908885
Paraiba,2017,cana_de_acucar,5369180
Paraiba,2018,cana_de_acucar,5447699
Paraiba,2019,cana_de_acucar,5430290
Paraiba,2020,cana_de_acucar,5673632
Paraiba,2021,cana_de_acucar,5630113
Paraiba,2022,cana_de_acucar,5762668
Paraiba,2023,cana_de_acucar,7066802
Parana,2010,cana_de_acucar,48361207
Parana,2011,cana_de_acucar,44907862
Parana,2012,cana_de_acucar,47940989
Parana,2013,cana_de_acucar,48449908
Parana,2014,cana_de_acucar,47947529
Parana,2015,cana_de_acucar,47368045
Parana,2016,cana_de_acucar,47492657
Parana,2017,cana_de_acucar,40755157
Parana,2018,cana_de_acucar,40168956
Parana,2019,cana_de_acucar,41642402
Parana,2020,cana_de_acucar,40294131
Parana,2021,cana_de_acucar,37522243
Parana,2022,cana_de_acucar,34454276
Parana,2023,cana_de_acucar,38586024
Pernambuco,2010,cana_de_acucar,19704071
Pernambuco,2011,cana_de_acucar,19332281
Pernambuco,2012,cana_de_acucar,14242228
Pernambuco,2013,cana_de_acucar,14834139
Pernambuco,2014,cana_de_acucar,15417362
Pernambuco,2015,cana_de_acucar,15965218
Pernambuco,2016,cana_de_acucar,13738711
Pernambuco,2017,cana_de_acucar,12352698
Pernambuco,2018,cana_de_acucar,13083448
Pernambuco,2019,cana_de_acucar,12618828
Pernambuco,2020,cana_de_acucar,14826596
Pernambuco,2021,cana_de_acucar,15602250
Pernambuco,2022,cana_de_acucar,17380159
Pernambuco,2023,cana_de_acucar,16693599
Piaui,2010,cana_de_acucar,779084
Piaui,2011,cana_de_acucar,981605
Piaui,2012,cana_de_acucar,807877
Piaui,2013,cana_de_acucar,756191
Piaui,2014,cana_de_acucar,903943
Piaui,2015,cana_de_acucar,861393
Piaui,2016,cana_de_acucar,726743
Piaui,2017,cana_de_acucar,829102
Piaui,2018,cana_de_acucar,839534
Piaui,2019,cana_de_acucar,992980
Piaui,2020,cana_de_acucar,1002464
Piaui,2021,cana_de_acucar,1110157
Piaui,2022,cana_de_acucar,1063691
Piaui,2023,cana_de_acucar,1183019
Rio Grande do Norte,2010,cana_de_acucar,3962017
Rio Grande do Norte,2011,cana_de_acucar,3581848
Rio Grande do Norte,2012,cana_de_acucar,4267958
Rio Grande do Norte,2013,cana_de_acucar,3806558
Rio Grande do Norte,2014,cana_de_acucar,3899348
Rio Grande do Norte,2015,cana_de_acucar,3724046
Rio Grande do Norte,2016,cana_de_acucar,3615991
Rio Grande do Norte,2017,cana_de_acucar,3723101
Rio Grande do Norte,2018,cana_de_acucar,3855065
Rio Grande do Norte,2019,cana_de_acucar,3849118
Rio Grande do Norte,2020,cana_de_acucar,3913165
Rio Grande do Norte,2021,cana_de_acucar,4058263
Rio Grande do Norte,2022,cana_de_acucar,3342940
Rio Grande do Norte,2023,cana_de_acucar,3747272
Rio Grande do Sul,2010,cana_de_acucar,1504692
Rio Grande do Sul,2011,cana_de_acucar,1384967
Rio Grande do Sul,2012,cana_de_acucar,981594
Rio Grande do Sul,2013,cana_de_acucar,1126122
Rio Grande do Sul,2014,cana_de_acucar,1043336
Rio Grande do Sul,2015,cana_de_acucar,834500
Rio Grande do Sul,2016,cana_de_acucar,761076
Rio Grande do Sul,2017,cana_de_acucar,730267
Rio Grande do Sul,2018,cana_de_acucar,680979
Rio Grande do Sul,2019,cana_de_acucar,628379
Rio Grande do Sul,2020,cana_de_acucar,538129
Rio Grande do Sul,2021,cana_de_acucar,590062
Rio Grande do Sul,2022,cana_de_acucar,412963
Rio Grande do Sul,2023,cana_de_acucar,426956
Rio de Janeiro,2010,cana_de_acucar,6394477
Rio de Janeiro,2011,cana_de_acucar,5137700
Rio de Janeiro,2012,cana_de_acucar,5692869
Rio de Janeiro,2013,cana_de_acucar,4955701
Rio de Janeiro,2014,cana_de_acucar,4783066
Rio de Janeiro,2015,cana_de_acucar,3919509
Rio de Janeiro,2016,cana_de_acucar,2514376
Rio de Janeiro,2017,cana_de_acucar,2352977
Rio de Janeiro,2018,cana_de_acucar,2191722
Rio de Janeiro,2019,cana_de_acucar,2457158
Rio de Janeiro,2020,cana_de_acucar,2557786
Rio de Janeiro,2021,cana_de_acucar,2556322
Rio de Janeiro,2022,cana_de_acucar,2708935
Rio de Janeiro,2023,cana_de_acucar,2386537
Rondonia,2010,cana_de_acucar,233527
Rondonia,2011,cana_de_acucar,218975
Rondonia,2012,cana_de_acucar,221870
Rondonia,2013,cana_de_acucar,309620
Rondonia,2014,cana_de_acucar,334636
Rondonia,2015,cana_de_acucar,159383
Rondonia,2016,cana_de_acucar,339481
Rondonia,2017,cana_de_acucar,236736
Rondonia,2018,cana_de_acucar,71962
Rondonia,2019,cana_de_acucar,111336
Rondonia,2020,cana_de_acucar,30643
Rondonia,2021,cana_de_acucar,24528
Rondonia,2022,cana_de_acucar,17807
Rondonia,2023,cana_de_acucar,21173
Roraima,2010,cana_de_acucar,1455
Roraima,2011,cana_de_acucar,1383
Roraima,2012,cana_de_acucar,1300
Roraima,2013,cana_de_acucar,4460
Roraima,2014,cana_de_acucar,2808
Roraima,2015,cana_de_acucar,3975
Roraima,2016,cana_de_acucar,3008
Roraima,2017,cana_de_acucar,2975
Roraima,2018,cana_de_acucar,2031
Roraima,2019,cana_de_acucar,2090
Roraima,2020,cana_de_acucar,2290
Roraima,2021,cana_de_acucar,2586
Roraima,2022,cana_de_acucar,3135
Roraima,2023,cana_de_acucar,3035
Santa Catarina,2010,cana_de_acucar,422014
Santa Catarina,2011,cana_de_acucar,532656
Santa Catarina,2012,cana_de_acucar,499049
Santa Catarina,2013,cana_de_acucar,498535
Santa Catarina,2014,cana_de_acucar,563600
